stress 	shear_rate 	viscosity 	step_time 	temperature 	normal_stress
10.2619 	100.001 	0.102618 	10.0320 	10.09 	-50.1984
10.2098 	100.003 	0.102095 	20.0440 	10.27 	-50.1787
10.1436 	99.9983 	0.101438 	30.0480 	10.45 	-46.0679
10.0466 	100.000 	0.100466 	40.0400 	10.63 	-52.9031
9.96069 	99.9980 	0.0996089 	50.0400 	10.81 	-49.4182
9.87081 	99.9978 	0.0987103 	60.0360 	10.97 	-53.7363
9.74983 	100.005 	0.0974938 	70.0360 	11.16 	-52.9838
9.67487 	100.002 	0.0967470 	80.0360 	11.30 	-52.3297
9.56153 	100.000 	0.0956153 	90.0360 	11.48 	-48.1138
9.45858 	99.9980 	0.0945876 	100.036 	11.66 	-53.3976
9.35813 	100.003 	0.0935783 	110.032 	11.84 	-50.1454
9.25804 	100.001 	0.0925796 	120.032 	11.97 	-49.5561
9.15181 	100.003 	0.0915157 	130.028 	12.14 	-47.9007
9.05685 	99.9960 	0.0905721 	140.036 	12.32 	-49.6996
8.95748 	100.000 	0.0895748 	150.036 	12.49 	-50.5990
8.85667 	99.9992 	0.0885675 	160.032 	12.64 	-55.2721
8.75289 	100.001 	0.0875281 	170.032 	12.83 	-47.9757
8.65542 	99.9986 	0.0865554 	180.028 	13.00 	-56.4427
8.56679 	99.9975 	0.0856701 	190.048 	13.16 	-49.8141
8.47411 	99.9972 	0.0847434 	200.048 	13.31 	-52.5819
8.36781 	100.003 	0.0836759 	210.028 	13.48 	-49.3949
8.26515 	99.9998 	0.0826517 	220.040 	13.68 	-49.3724
8.19258 	99.9995 	0.0819262 	230.040 	13.83 	-53.1000
8.10610 	100.002 	0.0810591 	240.040 	13.97 	-50.8575
8.01096 	100.003 	0.0801069 	250.036 	14.18 	-52.4290
7.91529 	99.9995 	0.0791533 	260.044 	14.33 	-50.2030
7.81652 	99.9986 	0.0781663 	270.044 	14.50 	-49.2201
7.74311 	99.9992 	0.0774317 	280.040 	14.64 	-54.5639
7.65358 	99.9972 	0.0765380 	290.040 	14.83 	-56.7445
7.57779 	100.000 	0.0757778 	300.040 	14.98 	-51.9846
7.49709 	99.9992 	0.0749715 	310.040 	15.15 	-51.1040
7.39688 	100.002 	0.0739673 	320.048 	15.33 	-54.8147
7.33350 	99.9963 	0.0733377 	330.040 	15.48 	-57.0556
7.25096 	100.001 	0.0725085 	340.032 	15.65 	-55.1684
7.16263 	100.003 	0.0716238 	350.032 	15.84 	-56.4667
7.08427 	100.002 	0.0708414 	360.032 	15.99 	-55.5042
7.00572 	99.9963 	0.0700598 	370.028 	16.15 	-55.1292
6.92616 	99.9978 	0.0692632 	380.028 	16.32 	-57.4296
6.85735 	100.003 	0.0685715 	390.044 	16.49 	-55.2299
6.79277 	100.008 	0.0679221 	400.044 	16.65 	-56.4473
6.70426 	100.001 	0.0670420 	410.036 	16.83 	-54.6045
6.63795 	100.000 	0.0663793 	420.036 	16.98 	-52.7812
6.56067 	100.001 	0.0656063 	430.032 	17.16 	-55.9231
6.49334 	100.002 	0.0649323 	440.032 	17.32 	-57.5006
6.41528 	100.001 	0.0641522 	450.032 	17.49 	-57.5624
6.35076 	99.9963 	0.0635099 	460.036 	17.66 	-58.2526
6.28756 	100.000 	0.0628755 	470.032 	17.82 	-56.7236
6.21223 	100.000 	0.0621221 	480.024 	18.00 	-48.9070
6.14527 	99.9998 	0.0614529 	490.028 	18.16 	-53.0183
6.08117 	100.003 	0.0608098 	500.024 	18.33 	-53.3928
6.02573 	100.004 	0.0602550 	510.040 	18.48 	-57.1691
5.95804 	99.9983 	0.0595814 	520.036 	18.65 	-50.9831
5.90200 	99.9978 	0.0590213 	530.024 	18.83 	-57.6302
5.83574 	100.002 	0.0583562 	540.044 	18.98 	-58.8692
5.77754 	100.000 	0.0577753 	550.024 	19.14 	-55.8521
5.71262 	99.9980 	0.0571273 	560.036 	19.32 	-54.6398
5.65730 	99.9929 	0.0565770 	570.024 	19.50 	-54.6829
5.60105 	99.9978 	0.0560118 	580.036 	19.65 	-54.7035
5.53154 	100.003 	0.0553136 	590.040 	19.83 	-51.6251
5.47681 	100.001 	0.0547674 	600.032 	20.01 	-49.7641
5.41221 	99.9980 	0.0541232 	610.032 	20.17 	-50.4556
5.36339 	99.9986 	0.0536346 	620.032 	20.33 	-54.5246
5.31679 	99.9998 	0.0531680 	630.036 	20.49 	-57.1689
5.25136 	100.002 	0.0525127 	640.028 	20.66 	-54.6957
5.20180 	100.005 	0.0520152 	650.024 	20.83 	-50.8645
5.15194 	99.9983 	0.0515203 	660.028 	20.99 	-56.0615
5.09240 	99.9992 	0.0509244 	670.032 	21.18 	-53.9239
5.04842 	99.9989 	0.0504848 	680.036 	21.33 	-48.9177
4.99706 	99.9992 	0.0499710 	690.024 	21.50 	-50.8699
4.94339 	100.003 	0.0494322 	700.036 	21.65 	-50.5979
4.89454 	100.001 	0.0489448 	710.032 	21.84 	-50.3308
4.84248 	99.9998 	0.0484250 	720.032 	22.01 	-51.6950
4.79616 	99.9980 	0.0479625 	730.028 	22.17 	-52.9744
4.74721 	100.003 	0.0474705 	740.032 	22.33 	-51.1549
4.69990 	100.003 	0.0469978 	750.028 	22.48 	-52.0790
4.65741 	100.002 	0.0465733 	760.024 	22.61 	-51.8514
4.61231 	99.9920 	0.0461268 	770.020 	22.82 	-54.1350
4.56787 	99.9986 	0.0456793 	780.032 	22.99 	-49.1486
4.50658 	99.9983 	0.0450665 	790.032 	23.16 	-55.4809
4.47006 	99.9992 	0.0447010 	800.032 	23.31 	-55.8427
4.42325 	99.9978 	0.0442335 	810.028 	23.50 	-55.2791
4.38129 	99.9998 	0.0438130 	820.028 	23.67 	-51.2326
4.34076 	99.9963 	0.0434092 	830.024 	23.83 	-54.7194
4.27913 	100.003 	0.0427900 	840.028 	23.98 	-54.1732
4.24103 	99.9952 	0.0424124 	850.032 	24.16 	-54.4725
4.20217 	100.000 	0.0420217 	860.032 	24.33 	-56.1093
4.15769 	100.003 	0.0415758 	870.024 	24.49 	-50.7276
4.12487 	99.9926 	0.0412517 	880.028 	24.65 	-50.8120
4.08743 	99.9989 	0.0408748 	890.024 	24.83 	-55.3380
4.03902 	100.000 	0.0403902 	900.024 	24.99 	-52.8293
4.00272 	99.9960 	0.0400288 	910.020 	25.15 	-53.1667
3.96709 	99.9975 	0.0396719 	920.020 	25.29 	-57.0421
3.92986 	99.9998 	0.0392987 	930.036 	25.48 	-52.6251
3.89507 	99.9980 	0.0389515 	940.032 	25.67 	-52.0427
3.84373 	100.000 	0.0384372 	950.032 	25.83 	-56.1707
3.81478 	99.9963 	0.0381492 	960.028 	26.01 	-58.4368
3.78040 	100.001 	0.0378038 	970.032 	26.16 	-59.0678
3.74063 	100.001 	0.0374059 	980.024 	26.34 	-55.6711
3.70103 	100.003 	0.0370093 	990.020 	26.50 	-53.7902
3.66645 	100.000 	0.0366643 	1000.02 	26.66 	-53.5205
3.63438 	99.9998 	0.0363439 	1010.02 	26.84 	-53.8989
3.59934 	100.002 	0.0359925 	1020.03 	27.00 	-54.1572
3.57301 	100.002 	0.0357292 	1030.03 	27.15 	-52.9617
3.53566 	99.9992 	0.0353569 	1040.03 	27.30 	-53.3804
3.51040 	99.9986 	0.0351045 	1050.02 	27.49 	-57.7408
3.46718 	100.001 	0.0346713 	1060.02 	27.67 	-51.1876
3.44724 	99.9995 	0.0344726 	1070.03 	27.82 	-54.3915
3.40593 	99.9986 	0.0340598 	1080.04 	27.98 	-55.2551
3.37723 	100.003 	0.0337711 	1090.03 	28.16 	-59.8049
3.34051 	100.002 	0.0334044 	1100.03 	28.34 	-57.3101
3.31605 	99.9986 	0.0331609 	1110.03 	28.50 	-59.7885
3.28082 	99.9975 	0.0328090 	1120.02 	28.68 	-55.4709
3.25128 	100.001 	0.0325125 	1130.03 	28.83 	-57.5897
3.22889 	100.004 	0.0322876 	1140.02 	28.96 	-51.6996
3.19485 	99.9980 	0.0319492 	1150.02 	29.16 	-51.4295
3.17469 	99.9992 	0.0317472 	1160.03 	29.33 	-53.0255
3.13537 	100.001 	0.0313534 	1170.02 	29.51 	-52.6693
3.11084 	100.003 	0.0311076 	1180.02 	29.65 	-54.0076
3.08024 	100.001 	0.0308021 	1190.02 	29.82 	-57.1369
3.05952 	99.9980 	0.0305958 	1200.02 	29.97 	-54.3277
3.03243 	99.9978 	0.0303250 	1210.03 	30.14 	-53.4068
3.00014 	100.000 	0.0300013 	1220.03 	30.32 	-49.9702
2.97752 	100.001 	0.0297747 	1230.02 	30.49 	-52.7583
2.94513 	100.000 	0.0294512 	1240.02 	30.66 	-53.1356
2.92124 	99.9978 	0.0292130 	1250.03 	30.83 	-57.5409
2.89899 	100.007 	0.0289880 	1260.03 	30.99 	-52.4688
2.86817 	100.007 	0.0286796 	1270.04 	31.14 	-55.6151
2.84314 	100.002 	0.0284307 	1280.05 	31.34 	-53.6854
2.81827 	100.003 	0.0281818 	1290.02 	31.52 	-52.0989
